"Samuel Adams","John Adams"
"Dr Allen","John Adams"
"Dr Allen","Samuel Adams"
"Nathaniel Appleton","John Adams"
"Nathaniel Appleton","Samuel Adams"
"Nathaniel Appleton","Dr Allen"
"Benjamin Austin","Samuel Adams"
"Samuel Austin","Samuel Adams"
"Samuel Austin","Benjamin Austin"
"John Avery","Samuel Adams"
"John Avery","Benjamin Austin"
"John Avery","Samuel Austin"
"Cyrus Baldwin","Samuel Adams"
"Cyrus Baldwin","Benjamin Austin"
"Cyrus Baldwin","Samuel Austin"
"Cyrus Baldwin","John Avery"
"John Ballard","John Adams"
"John Ballard","Samuel Adams"
"John Ballard","Dr Allen"
"John Ballard","Nathaniel Appleton"
"Nathaniel Barber","John Adams"
"Nathaniel Barber","Samuel Adams"
"Nathaniel Barber","Dr Allen"
"Nathaniel Barber","Nathaniel Appleton"
"Nathaniel Barber","Benjamin Austin"
"Nathaniel Barber","Samuel Austin"
"Nathaniel Barber","John Avery"
"Nathaniel Barber","Cyrus Baldwin"
"Nathaniel Barber","John Ballard"
"Samuel Barnard","Nathaniel Barber"
"Samuel Barrett","Samuel Adams"
"Samuel Barrett","Gilbert Ash"
"Samuel Barrett","Benjamin Austin"
"Samuel Barrett","Samuel Austin"
"Samuel Barrett","John Avery"
"Samuel Barrett","Cyrus Baldwin"
"Samuel Barrett","Nathaniel Barber"
"Henry Bass","John Adams"
"Henry Bass","Samuel Adams"
"Henry Bass","Dr Allen"
"Henry Bass","Nathaniel Appleton"
"Henry Bass","Benjamin Austin"
"Henry Bass","Samuel Austin"
"Henry Bass","John Avery"
"Henry Bass","Cyrus Baldwin"
"Henry Bass","John Ballard"
"Henry Bass","Nathaniel Barber"
"Henry Bass","Samuel Barnard"
"Henry Bass","Samuel Barrett"
"William Bell","Gilbert Ash"
"William Bell","Samuel Barrett"
"Increase Blake","Gilbert Ash"
"Increase Blake","Samuel Barrett"
"Increase Blake","William Bell"
"John Boit","John Adams"
"John Boit","Samuel Adams"
"John Boit","Dr Allen"
"John Boit","Nathaniel Appleton"
"John Boit","John Ballard"
"John Boit","Nathaniel Barber"
"John Boit","Henry Bass"
"Thomas Bolter","Nathaniel Barber"
"Thomas Bolter","Samuel Barnard"
"Thomas Bolter","Henry Bass"
"Peter Boyer","Samuel Adams"
"Peter Boyer","Benjamin Austin"
"Peter Boyer","Samuel Austin"
"Peter Boyer","John Avery"
"Peter Boyer","Cyrus Baldwin"
"Peter Boyer","Nathaniel Barber"
"Peter Boyer","Samuel Barrett"
"Peter Boyer","Henry Bass"
"Richard Boynton","Samuel Adams"
"Richard Boynton","Nathaniel Appleton"
"Richard Boynton","Benjamin Austin"
"Richard Boynton","Samuel Austin"
"Richard Boynton","John Avery"
"Richard Boynton","Cyrus Baldwin"
"Richard Boynton","Nathaniel Barber"
"Richard Boynton","Samuel Barrett"
"Richard Boynton","Henry Bass"
"Richard Boynton","Peter Boyer"
"Jos Brackett","Samuel Adams"
"Jos Brackett","Benjamin Austin"
"Jos Brackett","Samuel Austin"
"Jos Brackett","John Avery"
"Jos Brackett","Cyrus Baldwin"
"Jos Brackett","Nathaniel Barber"
"Jos Brackett","Samuel Barrett"
"Jos Brackett","Henry Bass"
"Jos Brackett","Peter Boyer"
"Jos Brackett","Richard Boynton"
"John Bradford","Samuel Adams"
"John Bradford","Nathaniel Appleton"
"John Bradford","Benjamin Austin"
"John Bradford","Samuel Austin"
"John Bradford","John Avery"
"John Bradford","Cyrus Baldwin"
"John Bradford","Nathaniel Barber"
"John Bradford","Samuel Barrett"
"John Bradford","Henry Bass"
"John Bradford","Peter Boyer"
"John Bradford","Richard Boynton"
"John Bradford","Jos Brackett"
"David Bradlee","Nathaniel Barber"
"David Bradlee","Samuel Barnard"
"David Bradlee","Henry Bass"
"David Bradlee","Thomas Bolter"
"Josiah Bradlee","Nathaniel Barber"
"Josiah Bradlee","Samuel Barnard"
"Josiah Bradlee","Henry Bass"
"Josiah Bradlee","Thomas Bolter"
"Josiah Bradlee","David Bradlee"
"Nathaniel Bradlee","Nathaniel Barber"
"Nathaniel Bradlee","Samuel Barnard"
"Nathaniel Bradlee","Henry Bass"
"Nathaniel Bradlee","Thomas Bolter"
"Nathaniel Bradlee","David Bradlee"
"Nathaniel Bradlee","Josiah Bradlee"
"Thomas Bradlee","Nathaniel Barber"
"Thomas Bradlee","Samuel Barnard"
"Thomas Bradlee","Henry Bass"
"Thomas Bradlee","Thomas Bolter"
"Thomas Bradlee","David Bradlee"
"Thomas Bradlee","Josiah Bradlee"
"Thomas Bradlee","Nathaniel Bradlee"
"George Bray","Gilbert Ash"
"George Bray","Samuel Barrett"
"George Bray","William Bell"
"George Bray","Increase Blake"
"William Breck","John Adams"
"William Breck","Samuel Adams"
"William Breck","Dr Allen"
"William Breck","Nathaniel Appleton"
"William Breck","John Ballard"
"William Breck","Nathaniel Barber"
"William Breck","Henry Bass"
"William Breck","John Boit"
"James Bewer","Nathaniel Barber"
"James Bewer","Samuel Barnard"
"James Bewer","Henry Bass"
"James Bewer","Thomas Bolter"
"James Bewer","David Bradlee"
"James Bewer","Josiah Bradlee"
"James Bewer","Nathaniel Bradlee"
"James Bewer","Thomas Bradlee"
"Herman Brimmer","Samuel Adams"
"Herman Brimmer","Benjamin Austin"
"Herman Brimmer","Samuel Austin"
"Herman Brimmer","John Avery"
"Herman Brimmer","Cyrus Baldwin"
"Herman Brimmer","Nathaniel Barber"
"Herman Brimmer","Samuel Barrett"
"Herman Brimmer","Henry Bass"
"Herman Brimmer","Peter Boyer"
"Herman Brimmer","Richard Boynton"
"Herman Brimmer","Jos Brackett"
"Herman Brimmer","John Bradford"
"Martin Brimmer","Samuel Adams"
"Martin Brimmer","Benjamin Austin"
"Martin Brimmer","Samuel Austin"
"Martin Brimmer","John Avery"
"Martin Brimmer","Cyrus Baldwin"
"Martin Brimmer","Nathaniel Barber"
"Martin Brimmer","Samuel Barrett"
"Martin Brimmer","Henry Bass"
"Martin Brimmer","Peter Boyer"
"Martin Brimmer","Richard Boynton"
"Martin Brimmer","Jos Brackett"
"Martin Brimmer","John Bradford"
"Martin Brimmer","Herman Brimmer"
"Henry Broomfield","Samuel Adams"
"Henry Broomfield","Benjamin Austin"
"Henry Broomfield","Samuel Austin"
"Henry Broomfield","John Avery"
"Henry Broomfield","Cyrus Baldwin"
"Henry Broomfield","Nathaniel Barber"
"Henry Broomfield","Samuel Barrett"
"Henry Broomfield","Henry Bass"
"Henry Broomfield","Peter Boyer"
"Henry Broomfield","Richard Boynton"
"Henry Broomfield","Jos Brackett"
"Henry Broomfield","John Bradford"
"Henry Broomfield","Herman Brimmer"
"Henry Broomfield","Martin Brimmer"
"Hugh Brown","Gilbert Ash"
"Hugh Brown","Samuel Barrett"
"Hugh Brown","William Bell"
"Hugh Brown","Increase Blake"
"Hugh Brown","George Bray"
"Enoch Brown","Samuel Adams"
"Enoch Brown","Benjamin Austin"
"Enoch Brown","Samuel Austin"
"Enoch Brown","John Avery"
"Enoch Brown","Cyrus Baldwin"
"Enoch Brown","Nathaniel Barber"
"Enoch Brown","Samuel Barrett"
"Enoch Brown","Henry Bass"
"Enoch Brown","Peter Boyer"
"Enoch Brown","Richard Boynton"
"Enoch Brown","Jos Brackett"
"Enoch Brown","John Bradford"
"Enoch Brown","Herman Brimmer"
"Enoch Brown","Martin Brimmer"
"Enoch Brown","Henry Broomfield"
"John Brown","Samuel Adams"
"John Brown","Benjamin Austin"
"John Brown","Samuel Austin"
"John Brown","John Avery"
"John Brown","Cyrus Baldwin"
"John Brown","Nathaniel Barber"
"John Brown","Samuel Barrett"
"John Brown","Henry Bass"
"John Brown","Peter Boyer"
"John Brown","Richard Boynton"
"John Brown","Jos Brackett"
"John Brown","John Bradford"
"John Brown","Herman Brimmer"
"John Brown","Martin Brimmer"
"John Brown","Henry Broomfield"
"John Brown","Enoch Brown"
"Stephen Bruce","Nathaniel Barber"
"Stephen Bruce","Samuel Barnard"
"Stephen Bruce","Henry Bass"
"Stephen Bruce","Thomas Bolter"
"Stephen Bruce","David Bradlee"
"Stephen Bruce","Josiah Bradlee"
"Stephen Bruce","Nathaniel Bradlee"
"Stephen Bruce","Thomas Bradlee"
"Stephen Bruce","James Bewer"
"Edward Burbeck","Gilbert Ash"
"Edward Burbeck","Samuel Barrett"
"Edward Burbeck","William Bell"
"Edward Burbeck","Increase Blake"
"Edward Burbeck","George Bray"
"Edward Burbeck","Hugh Brown"
"William Burbeck","Gilbert Ash"
"William Burbeck","Samuel Barrett"
"William Burbeck","William Bell"
"William Burbeck","Increase Blake"
"William Burbeck","George Bray"
"William Burbeck","Hugh Brown"
"William Burbeck","Edward Burbeck"
"Benjamin Burt","John Adams"
"Benjamin Burt","Samuel Adams"
"Benjamin Burt","Dr Allen"
"Benjamin Burt","Nathaniel Appleton"
"Benjamin Burt","John Ballard"
"Benjamin Burt","Nathaniel Barber"
"Benjamin Burt","Henry Bass"
"Benjamin Burt","John Boit"
"Benjamin Burt","William Breck"
"Benjamin Burton","Nathaniel Barber"
"Benjamin Burton","Samuel Barnard"
"Benjamin Burton","Henry Bass"
"Benjamin Burton","Thomas Bolter"
"Benjamin Burton","David Bradlee"
"Benjamin Burton","Josiah Bradlee"
"Benjamin Burton","Nathaniel Bradlee"
"Benjamin Burton","Thomas Bradlee"
"Benjamin Burton","James Bewer"
"Benjamin Burton","Stephen Bruce"
"Edward Cailleteau","Gilbert Ash"
"Edward Cailleteau","Samuel Barrett"
"Edward Cailleteau","William Bell"
"Edward Cailleteau","Increase Blake"
"Edward Cailleteau","George Bray"
"Edward Cailleteau","Hugh Brown"
