"Samuel Howard","St Andrews Lodge"
"Edward Howe","North Caucus"
"Jonathan Hunnewell","Tea Party"
"Richard Hunnewell","London Enemies"
"Thomas Hunstable","Boston Committee"
"Thomas Hunstable","London Enemies"
"Abraham Hunt","London Enemies"
"Daniel Ingersoll","Boston Committee"
"Daniel Ingersoll","London Enemies"
"Alexander Inglish","Tea Party"
"Pierce Isaac","Tea Party"
"James Ivers","Tea Party"
"Edward Jarvis","Tea Party"
"Charles Jarvis","St Andrews Lodge"
"Unknown Jefferds","North Caucus"
"John Jenkins","Tea Party"
"Eben Johnston","London Enemies"
"Gabriel Johonnott","London Enemies"
"Benjamin Kent","London Enemies"
"Walter Kerr","St Andrews Lodge"
"Thomas Kimball","London Enemies"
"David Kinnison","London Enemies"
"John Lambert","Tea Party"
"Joseph Lee","St Andrews Lodge"
"Phillip Lewis","St Andrews Lodge"
"Amos Lincoln","North Caucus"
"Matthew Loring","Tea Party"
"John Lowell","St Andrews Lodge"
"Thomas Machin","Tea Party"
"William Mackay","Boston Committee"
"Capt MacKintosh","Tea Party"
"Archibald MacNeil","Tea Party"
"Phillip Marett","St Andrews Lodge"
"John Marlton","St Andrews Lodge"
"Thomas Marshall","London Enemies"
"John Marson","London Enemies"
"Jonathan Mason","London Enemies"
"John Matchett","North Caucus"
"John May","Tea Party"
"William McAlpine","St Andrews Lodge"
"Thomas Melville","Tea Party"
"John Merrit","North Caucus"
"Thomas Milliken","St Andrews Lodge"
"William Molineux","North Caucus"
"William Molineux","Tea Party"
"William Molineux","Boston Committee"
"Samuel Moody","St Andrews Lodge"
"Thomas Moore","Tea Party"
"Anthony Morse","Tea Party"
"Perez Morton","North Caucus"
"Joseph Mountford","Tea Party"
"Eliphelet Newell","Tea Party"
"Unknown Nicholls","St Andrews Lodge"
"Nat Noyces","London Enemies"
"Israel Obear","St Andrews Lodge"
"James Otis","Long Room Club"
"James Otis","Boston Committee"
"William Palfrey","St Andrews Lodge"
"Joseph Palmer","Tea Party"
"Richard Palms","North Caucus"
"Jonathan Parker","Tea Party"
"Elias Parkman","North Caucus"
"Elias Parkman","London Enemies"
"Sam Partridge","London Enemies"
"Joseph Payson","Tea Party"
"IsaacJun Pearce","North Caucus"
"Isaac Pearce","North Caucus"
"Samuel Peck","St Andrews Lodge"
"Samuel Peck","Tea Party"
"Thomas Peck","North Caucus"
"John Peters","Tea Party"
"John Phillips","St Andrews Lodge"
"Samuel Phillips","Long Room Club"
"William Phillips","London Enemies"
"William Pierce","Tea Party"
"Robert Pierpont","Boston Committee"
"John Pitts","London Enemies"
"Lendall Pitts","Tea Party"
"Samuel Pitts","London Enemies"
"Thomas Porter","Tea Party"
"Edward Potter","St Andrews Lodge"
"William Powell","Boston Committee"
"William Powell","London Enemies"
"Henry Prentiss","Tea Party"
"John Prince","Tea Party"
"Job Prince","London Enemies"
"Edward Proctor","North Caucus"
"Edward Proctor","Tea Party"
"Edward Proctor","London Enemies"
"John Pulling","North Caucus"
"John Pulling","London Enemies"
"Richard Pulling","St Andrews Lodge"
"Henry Purkitt","Tea Party"
"Josiah Quincy","Long Room Club"
"Josiah Quincy","Boston Committee"
"John Randall","Tea Party"
"Paul Revere","St Andrews Lodge"
"Paul Revere","North Caucus"
"Paul Revere","Long Room Club"
"Paul Revere","Tea Party"
"Paul Revere","London Enemies"
"Joseph Roby","Tea Party"
"Thomas Roylson","London Enemies"
"Abiel Ruddock","North Caucus"
"Abiel Ruddock","London Enemies"
"John Russell","Tea Party"
"William Russell","Tea Party"
"Robert Sessions","Tea Party"
"James Seward","St Andrews Lodge"
"Gibbens Sharp","North Caucus"
"Joseph Shed","Tea Party"
"John Sigourney","North Caucus"
"Benjamin Simpson","Tea Party"
"Peter Slater","Tea Party"
"Ambrose Sloper","St Andrews Lodge"
"John Smith","Loyal Nine"
"Thomas Spear","Tea Party"
"Samuel Sprague","Tea Party"
"John Spurr","Tea Party"
"Henry Stanbridge","St Andrews Lodge"
"James Starr","Tea Party"
"Phineas Stearns","Tea Party"
"Ebenezer Stevens","Tea Party"
"Asa Stoddard","North Caucus"
"Jonathan Stoddard","North Caucus"
"Elisha Story","North Caucus"
"Elisha Story","Tea Party"
"James Swan","North Caucus"
"James Swan","Tea Party"
"John Sweetser","Boston Committee"
"Eben Symmes","North Caucus"
"John Symmes","North Caucus"
"Philip Tabor","St Andrews Lodge"
"Thomas Tileston","North Caucus"
"George Trott","Loyal Nine"
"Royall Tyler","Long Room Club"
"Thomas Urann","St Andrews Lodge"
"Thomas Urann","North Caucus"
"Thomas Urann","Tea Party"
"Fortesque Vernon","London Enemies"
"Benjamin Waldo","London Enemies"
"Joseph Warren","St Andrews Lodge"
"Joseph Warren","North Caucus"
"Joseph Warren","Long Room Club"
"Joseph Warren","London Enemies"
"Joseph Webb","St Andrews Lodge"
"Thomas Webster","St Andrews Lodge"
"Henry Welles","St Andrews Lodge"
"Henry Welles","Loyal Nine"
"Oliver Wendell","Boston Committee"
"Oliver Wendell","London Enemies"
"Josiah Wheeler","Tea Party"
"Samuel White","North Caucus"
"John Whitten","St Andrews Lodge"
"Samuel Whitwell","London Enemies"
"William Whitwell","London Enemies"
"Jeremiah Williams","Tea Party"
"Jonathan Williams","London Enemies"
"Thomas Williams","Tea Party"
"Nathaniel Willis","Tea Party"
"William Wingfield","St Andrews Lodge"
"John Winslow","Long Room Club"
"John Winthrop","North Caucus"
"John Winthrop","London Enemies"
"Joshua Wyeth","Tea Party"
"Thomas Young","North Caucus"
"Thomas Young","Tea Party"
"Thomas Young","Boston Committee"
"",
